DEP;DIR;CODECOM;LIBCOM;CODEVOIE;CLEFVOIE;nature_voie;LIBVOIE;TYPEVOIE;voie_entier;Coordonnees;Latitude;Longitude
64;0;422;OLORON SAINTE MARIE           ;631;T;VC  ;3 DITE DE LEGUGNON        ;Voie;Voie communale;43.2016694,-0.6230149;43.2016694;-0.6230149
64;0;422;OLORON SAINTE MARIE           ;15;Y;AV  ;ADOLPHO BIOY CASARES      ;Voie;Avenue;43.1978937,-0.6293566;43.1978937;-0.6293566
64;0;422;OLORON SAINTE MARIE           ;20;D;RUE ;ADOUE                     ;Voie;Rue;43.1856009,-0.609417;43.1856009;-0.609417
64;0;422;OLORON SAINTE MARIE           ;30;P;RUE ;ALBERT CAMUS              ;Voie;Rue;43.189037,-0.628403;43.189037;-0.628403
64;0;422;OLORON SAINTE MARIE           ;32;S;RUE ;ALBERT RIOUX              ;Voie;Rue;43.1868511,-0.61053;43.1868511;-0.61053
64;0;422;OLORON SAINTE MARIE           ;35;V;AV  ;ALEXANDER FLEMING         ;Voie;Avenue;43.1973383,-0.6174691;43.1973383;-0.6174691
64;0;422;OLORON SAINTE MARIE           ;36;W;RUE ;ALEXANDRE E JEAN DE RIQUER;Voie;Rue;43.184541,-0.5886065;43.184541;-0.5886065
64;0;422;OLORON SAINTE MARIE           ;40;A;RUE ;ALFRED DE VIGNY           ;Voie;Rue;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;46;G;RUE ;AMBROISE BORDELONGUE      ;Voie;Rue;43.1999676,-0.6045065;43.1999676;-0.6045065
64;0;422;OLORON SAINTE MARIE           ;60;X;RUE ;AMPERE                    ;Voie;Rue;43.185736,-0.607607;43.185736;-0.607607
64;0;422;OLORON SAINTE MARIE           ;62;Z;RUE ;ANDRE LOMBARD             ;Voie;Rue;43.1952607,-0.6209355;43.1952607;-0.6209355
64;0;422;OLORON SAINTE MARIE           ;64;B;RUE ;ANDRE MALRAUX             ;Voie;Rue;43.1954882,-0.6233495;43.1954882;-0.6233495
64;0;422;OLORON SAINTE MARIE           ;65;C;RUE ;ANDREE BEARN              ;Voie;Rue;43.1830329,-0.6138133;43.1830329;-0.6138133
64;0;422;OLORON SAINTE MARIE           ;66;D;RUE ;ANTONIN MONTAUT           ;Voie;Rue;43.2008622,-0.6211104;43.2008622;-0.6211104
64;0;422;OLORON SAINTE MARIE           ;1770;F;VC  ;ARTISANALE LANNERETON     ;Voie;Voie communale;43.200376,-0.633354;43.200376;-0.633354
64;0;422;OLORON SAINTE MARIE           ;26;K;RTE ;ARUDY                     ;Voie;Route;43.121999,-0.432727;43.121999;-0.432727
64;0;422;OLORON SAINTE MARIE           ;90;E;RUE ;AUGUSTE PEYRE             ;Voie;Rue;43.185493,-0.6136526;43.185493;-0.6136526
64;0;422;OLORON SAINTE MARIE           ;150;V;RUE ;BASSE                     ;Voie;Rue;43.189516,-0.609857;43.189516;-0.609857
64;0;422;OLORON SAINTE MARIE           ;152;X;ALL ;BAUDELAIRE                ;Voie;Allée;43.1990792,-0.6042228;43.1990792;-0.6042228
64;0;422;OLORON SAINTE MARIE           ;157;C;PROM;BELLEVUE                  ;Voie;Promenade;43.1894086,-0.6076444;43.1894086;-0.6076444
64;0;422;OLORON SAINTE MARIE           ;158;D;RUE ;BERNADOTTE                ;Voie;Rue;43.182334,-0.611473;43.182334;-0.611473
64;0;422;OLORON SAINTE MARIE           ;160;F;RUE ;BERNARD D AUREILHE        ;Voie;Rue;43.185691,-0.609039;43.185691;-0.609039
64;0;422;OLORON SAINTE MARIE           ;161;G;RUE ;BERNARD MANCIET           ;Voie;Rue;43.2015322,-0.6240065;43.2015322;-0.6240065
64;0;422;OLORON SAINTE MARIE           ;165;L;RUE ;BERTHE MORISOT            ;Voie;Rue;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;A013;R;LOT ;BITETE                    ;Ensemble immobilier;Lotissement ;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;180;C;RUE ;CAMOU                     ;Voie;Rue;43.1954353,-0.6047829;43.1954353;-0.6047829
64;0;422;OLORON SAINTE MARIE           ;A074;G;LOT ;CAMSUZOU                  ;Ensemble immobilier;Lotissement ;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;188;L;VC  ;CARRERA DER ESCOR         ;Voie;Voie communale;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;189;M;VC  ;CARRERA SENTA LUCIA       ;Voie;Voie communale;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;190;N;RUE ;CARREROT                  ;Voie;Rue;43.190506,-0.612607;43.190506;-0.612607
64;0;422;OLORON SAINTE MARIE           ;A014;S;LOT ;CARREROT                  ;Ensemble immobilier;Lotissement ;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;A080;N;LOT ;CAUHAPE                   ;Ensemble immobilier;Lotissement ;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;220;W;RUE ;CENTULLE                  ;Voie;Rue;43.1893066,-0.6056264;43.1893066;-0.6056264
64;0;422;OLORON SAINTE MARIE           ;230;G;AV  ;CHARLES ET HENRI MOUREU   ;Voie;Avenue;43.191216,-0.614992;43.191216;-0.614992
64;0;422;OLORON SAINTE MARIE           ;231;H;AV  ;CHARLES PEYROU            ;Voie;Avenue;43.199806,-0.6315746;43.199806;-0.6315746
64;0;422;OLORON SAINTE MARIE           ;258;M;IMP ;CLAUDE DEBUSSY            ;Voie;Impasse;43.199301,-0.620906;43.199301;-0.620906
64;0;422;OLORON SAINTE MARIE           ;A038;T;LOT ;COMMUNAL DE LEGUGNON      ;Ensemble immobilier;Lotissement ;43.20829,-0.63387;43.20829;-0.63387
64;0;422;OLORON SAINTE MARIE           ;280;L;RUE ;CUJAS                     ;Voie;Rue;43.1903195,-0.6061057;43.1903195;-0.6061057
64;0;422;OLORON SAINTE MARIE           ;25;J;RTE ;D AGNOS                   ;Voie;Route;43.175505,-0.619411;43.175505;-0.619411
64;0;422;OLORON SAINTE MARIE           ;75;N;RUE ;D ARLET                   ;Voie;Rue;43.1681473,-0.6067791;43.1681473;-0.6067791
64;0;422;OLORON SAINTE MARIE           ;95;K;RUE ;D AYOUS                   ;Voie;Rue;43.368074,-0.38939;43.368074;-0.38939
64;0;422;OLORON SAINTE MARIE           ;513;P;CHE ;D ILHASSE                 ;Voie;Chemin;43.1996997,-0.6354024;43.1996997;-0.6354024
64;0;422;OLORON SAINTE MARIE           ;70;H;RUE ;D'ARBORE                  ;Voie;Rue;43.1870612,-0.6173867;43.1870612;-0.6173867
64;0;422;OLORON SAINTE MARIE           ;80;U;RUE ;D'ASPE                    ;Voie;Rue;43.185351,-0.60016;43.185351;-0.60016
64;0;422;OLORON SAINTE MARIE           ;82;W;RUE ;D'ASPE PROLONGEE          ;Voie;Rue;43.178688,-0.594946;43.178688;-0.594946
64;0;422;OLORON SAINTE MARIE           ;290;X;RUE ;DALMAIS                   ;Voie;Rue;43.1907287,-0.60689;43.1907287;-0.60689
64;0;422;OLORON SAINTE MARIE           ;A079;M;LOT ;DARMAILLACQ               ;Ensemble immobilier;Lotissement ;43.1824927,-0.617348;43.1824927;-0.617348
64;0;422;OLORON SAINTE MARIE           ;293;A;CHE ;DARRE SEGUES              ;Voie;Chemin;43.1998286,-0.600502;43.1998286;-0.600502
64;0;422;OLORON SAINTE MARIE           ;101;S;CHE ;DE BACCARAU               ;Voie;Chemin;43.1782007,-0.6334486;43.1782007;-0.6334486
64;0;422;OLORON SAINTE MARIE           ;132;A;RUE ;DE BARBE                  ;Voie;Rue;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;133;B;RTE ;DE BARCUS                 ;Voie;Route;43.1928461,-0.6487742;43.1928461;-0.6487742
64;0;422;OLORON SAINTE MARIE           ;136;E;RTE ;DE BARETOUS               ;Voie;Route;43.176701,-0.6430043;43.176701;-0.6430043
64;0;422;OLORON SAINTE MARIE           ;138;G;CHE ;DE BASCOU                 ;Voie;Chemin;43.3247899,-0.2681554;43.3247899;-0.2681554
64;0;422;OLORON SAINTE MARIE           ;156;B;RTE ;DE BAYONNE                ;Voie;Route;43.2059067,-0.6364229;43.2059067;-0.6364229
64;0;422;OLORON SAINTE MARIE           ;155;A;CHEM;DE BELANDRE               ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;168;P;CHE ;DE BIDOS                  ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;172;U;RUE ;DE BITETE                 ;Voie;Rue;43.1866282,-0.6028017;43.1866282;-0.6028017
64;0;422;OLORON SAINTE MARIE           ;171;T;CHE ;DE BOILA                  ;Voie;Chemin;43.1827953,-0.588122;43.1827953;-0.588122
64;0;422;OLORON SAINTE MARIE           ;169;R;CHE ;DE BORDES ET HOURQUET     ;Voie;Chemin;43.1383974,-0.5607348;43.1383974;-0.5607348
64;0;422;OLORON SAINTE MARIE           ;175;X;RUE ;DE BROQUES                ;Voie;Rue;43.1676294,-0.5938369;43.1676294;-0.5938369
64;0;422;OLORON SAINTE MARIE           ;176;Y;CHE ;DE BRUCHOU                ;Voie;Chemin;43.1136188,-0.5619988;43.1136188;-0.5619988
64;0;422;OLORON SAINTE MARIE           ;173;V;CHE ;DE BUGALA                 ;Voie;Chemin;43.173982,-0.6401019;43.173982;-0.6401019
64;0;422;OLORON SAINTE MARIE           ;174;W;CHE ;DE BUGALADE               ;Voie;Chemin;43.208919,-0.638957;43.208919;-0.638957
64;0;422;OLORON SAINTE MARIE           ;183;F;CHE ;DE CANDAU                 ;Voie;Chemin;43.302527,-0.69281;43.302527;-0.69281
64;0;422;OLORON SAINTE MARIE           ;274;E;CHE ;DE COSTADARRE             ;Voie;Chemin;43.1716167,-0.6646058;43.1716167;-0.6646058
64;0;422;OLORON SAINTE MARIE           ;292;Z;RUE ;DE DARRE COQUE            ;Voie;Rue;43.183323,-0.618446;43.183323;-0.618446
64;0;422;OLORON SAINTE MARIE           ;490;P;AV  ;DE GOES                   ;Voie;Avenue;43.1948364,-0.6014574;43.1948364;-0.6014574
64;0;422;OLORON SAINTE MARIE           ;68;F;BD  ;DE L ARAGON               ;Voie;Boulevard;43.1796023,-0.6133337;43.1796023;-0.6133337
64;0;422;OLORON SAINTE MARIE           ;325;K;RUE ;DE L'EGALITE              ;Voie;Rue;43.1947631,-0.6202329;43.1947631;-0.6202329
64;0;422;OLORON SAINTE MARIE           ;333;U;ALL ;DE L'EMPEREUR NAPOLEON III;Voie;Allée;43.1929201,-0.6013727;43.1929201;-0.6013727
64;0;422;OLORON SAINTE MARIE           ;528;F;ALL ;DE L'IMPERATRICE EUGENIE  ;Voie;Allée;43.1923395,-0.599495;43.1923395;-0.599495
64;0;422;OLORON SAINTE MARIE           ;526;D;RUE ;DE L'INTENDANT D'ETIGNY   ;Voie;Rue;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;1720;B;RUE ;DE L'UNION                ;Voie;Rue;43.185149,-0.607257;43.185149;-0.607257
64;0;422;OLORON SAINTE MARIE           ;210;K;RUE ;DE LA CATHEDRALE          ;Voie;Rue;43.187892,-0.6149623;43.187892;-0.6149623
64;0;422;OLORON SAINTE MARIE           ;261;R;CHE ;DE LA COLLINETTE          ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;278;J;CHE ;DE LA CROIX DE SANDRIN    ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;345;G;RUE ;DE LA FILATURE            ;Voie;Rue;43.1915274,-0.6050532;43.1915274;-0.6050532
64;0;422;OLORON SAINTE MARIE           ;380;V;RUE ;DE LA FRATERNITE          ;Voie;Rue;43.190237,-0.613789;43.190237;-0.613789
64;0;422;OLORON SAINTE MARIE           ;420;N;AV  ;DE LA GARE                ;Voie;Avenue;43.193267,-0.6125024;43.193267;-0.6125024
